waiting_list,program,tools_experience,r_data_modeling_experience,gender,editor_choice,r_graphics_experience,r_advanced_multivariate_analysis_experience,r_markdown_experience,matlab_experience,github_experience
No,IDSE (master),"Matlab, R, Github, Excel, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, google drive (formerly docs)",2,he/him,RStudio,1,1,1,2,2
No,IDSE (master),"Matlab, R, Github, Excel, RStudio, ggplot2, shell (terminal / command line), Python, LaTeX, google drive (formerly docs)",2,he/him,RStudio,1,1,1,2,2
Yes,Statistics (master),"Matlab, R, Excel, RStudio, SPSS, C/C++",3,she/her,RStudio,3,2,1,1,1
No,IDSE (master),"R, Github, RStudio, Python, dropbox, google drive (formerly docs)",1,he/him,RStudio,1,1,1,1,1
No,IDSE (master),"Matlab, R, Excel, SQL, RStudio, Python, dropbox, google drive (formerly docs)",3,he/him,RStudio,2,2,1,1,0
Yes,Statistics (master),"R, RStudio",2,she/her,RStudio,1,1,0,0,0
Yes,Statistics (master),"Matlab, R, Github, Excel, SQL, RStudio, ggplot2, C/C++, Python, XML, google drive (formerly docs)",3,he/him,RStudio,2,3,1,3,2
No,IDSE (master),"R, Excel, SQL, RStudio, Python, Stata, google drive (formerly docs)",2,she/her,RStudio,2,2,1,1,0
No,IDSE (master),"Matlab, R, Excel, RStudio, Python, dropbox, google drive (formerly docs)",2,he/him,RStudio,1,1,2,1,0
No,IDSE (master),"Excel, Python, dropbox, google drive (formerly docs)",1,she/her,ipython,0,0,1,0,0
No,Data Science Certification,"Matlab, R, Github, Excel, SQL, RStudio, shell (terminal / command line), Python, XML, Web: html css js, dropbox, google drive (formerly docs)",1,he/him,vi/vim,1,1,0,1,1
No,IDSE (master),"R, Python",1,he/him,vi/vim,1,1,1,1,1
No,Statistics (master),"R, RStudio, ggplot2, LaTeX",1,he/him,RStudio,1,0,0,0,0
No,IDSE (master),"Matlab, R, RStudio, SPSS, Sweave/knitr",2,she/her,RStudio,1,1,2,2,0
Yes,Statistics (master),"R, Github, RStudio, LaTeX, dropbox, google drive (formerly docs)",1,he/him,RStudio,1,1,1,1,1
No,IDSE (master),"R, Excel, SQL, RStudio, shell (terminal / command line), Python, regular expressions (grep)",2,he/him,notepad++,1,1,2,2,1
Yes,Ph.D.,"Matlab, R, RStudio, ggplot2, dropbox",2,he/him,RStudio,2,1,0,1,0
No,IDSE (master),"R, Excel, RStudio, Python, dropbox, google drive (formerly docs)",2,she/her,RStudio,1,1,1,0,0
No,Data Science Certification,"R, SQL, RStudio, shell (terminal / command line), C/C++, Python, dropbox, google drive (formerly docs)",2,he/him,RStudio,1,1,2,1,1
Yes,Statistics (master),"Matlab, R, Excel, SQL, RStudio, ggplot2, C/C++, Web: html css js, dropbox, google drive (formerly docs)",3,he/him,RStudio,2,2,2,2,1
No,IDSE (master),"R, Github, SQL, RStudio, ggplot2, shell (terminal / command line), C/C++, Python, regular expressions (grep), Web: html css js, dropbox, google drive (formerly docs)",2,he/him,vi/vim,1,1,0,0,2
